,subject,description
27,DMA-330 Won't Work on DE1-SoC [Baremetal],"I have the example project for the ADXL345 Accel that is on the Intel FTP site. I copied this and simply disabled the reads of the i2c0 RX Buffer. I set up the watermark level of the dma to 30 entries, I have 36 entries in the RX Buffer, but for some reason it won't transfer the data. I keep getting a status = -1 right at the API call alt_dma_periph_to_memory. I've replaced the data destination to an internal buffer then to the SDRAM, still won't work. I've rechecked all the settings made sure everything is out of reset, configured properly, the i2c works as intended, the program is correctly setup in on chip memory, data buffers fill up, and I cannot find out why it won't transfer. I know I can do this in Linux no problem, but this is a learning project for myself. Can anyone shed some light on the problem? "
28,Intel® Stratix® 10 L- and H-Tile Transceiver PHYの使い方について,①Stratix10で搭載されるPCIe PhyのPower-Onリセットに関する質問です。リセットシーケンスの中、Phyのrx_is_lockedtodata信号が立ち上がる条件として、rxが対向Phyからトグルした信号を受信したことだと見受けられます。この認識は正しいでしょうか？ ​ ②上記質問の回答がYesの場合の追加質問になります。 Stratix10のPCIe Phyのリセットの完了させるには、localよりもHost側のPhyが先にリセットを完了し、localへデータを送信しないといけません。Stratix10 PCIe Phy同士を繋いで使用する場合、localとhostがお互いに対して何かのデータを送信し合う仕組みが必要だと考えています。この認識は正しいでしょうか？ ※simulation上、そうしないとlocalもhostも対向からデータを受信できず、rx_is_lockedtodata信号が立ち上がらない状態になりました。 
29,Error programming Intel Stratix 10 MX FPGA Dev Kit (A PMBUS error has occurred during configuration),"Here is the error. I will attach the qsf file subsequently.  Info: Command: quartus_pgm -c 1 --mode=jtag top.cdf Info (213045): Using programming cable ""Intel Stratix 10 MX FPGA Development Kit [1-12]""  Error (18950): Device has stopped receiving configuration data Error (18948): Error message received from device: Detected hardware access error. There is a failure in accessing external hardware. (Subcode 0x0032, Info 0x00000000, Location 0x0000C400) Error (20072): A PMBUS error has occurred during configuration. Potential errors: Incorrect VID setting in Quartus Project. The target device fails to communicate to smart regulator or PMBUS Master on board.  I am using Quartus 19.1 I am using Stratix 10 MX Dev Kit with Device: 1SM21BHU2F53E2VGS1  "
30,"hps-fpga problems with makefile
 error: #error You must define soc_cv_av or soc_a10 before compiling with HwLibs","Hello,  I am having issues making my C file with the EDS editor. I am using 18.1 . My goal is to compile my C code with the below make file. However, whenever I attempt to run the make file, I get the following error:  $ make C:/intelFPGA/18.1/embedded/ip/altera/hps/altera_hps/hwlib/include/hwlib.h:56:2: error: #error You must define soc_cv_av or soc_a10 before compiling with HwLibs #error You must define soc_cv_av or soc_a10 before compiling with HwLibs  I have read some forum posts which suggest to include this in the make file: ALT_DEVICE_FAMILY       = soc_cv_av  however, this has not helped me.  Any suggestions?   Here is my make file:   and here is the top portion of my c file:  #include <stdio.h> #include <unistd.h> #include <fcntl.h> #include <sys/mman.h> #include ""hwlib.h"" #include ""socal/socal.h"" #include ""socal/hps.h"" #include ""socal/alt_gpio.h"" #include ""hps_0.h""   Thank you, James   "
31,客户自制的板卡，在启动Linux过程中，停止在Starting  Kernel.....,"U-Boot SPL 2013.01.01 (Jan 04 2015 - 15:47:14) BOARD : Altera SOCFPGA Cyclone V Board CLOCK: EOSC1 clock 25000 KHz CLOCK: EOSC2 clock 25000 KHz CLOCK: F2S_SDR_REF clock 0 KHz CLOCK: F2S_PER_REF clock 0 KHz CLOCK: MPU clock 800 MHz CLOCK: DDR clock 400 MHz CLOCK: UART clock 100000 KHz CLOCK: MMC clock 50000 KHz CLOCK: QSPI clock 400000 KHz INFO : Watchdog enabled SDRAM: Initializing MMR registers SDRAM: Calibrating PHY SEQ.C: Preparing to start memory calibration SEQ.C: CALIBRATION PASSED SDRAM: 1024 MiB SF: Read data capture delay calibrated to 3 (0 - 7) SF: Detected N25Q128 with page size 65536, total: 16777216   U-Boot 2013.01.01 (Jan 04 2015 - 15:53:20)  CPU  : Altera SOCFPGA Platform BOARD : Altera SOCFPGA Cyclone V Board I2C:  ready DRAM: 512 MiB NAND: NAND: Denali NAND controller 1024 MiB SF: Read data capture delay calibrated to 3 (0 - 7) SF: Detected N25Q128 with page size 65536, total: 16777216 *** Warning - bad CRC, using default environment  In:  serial Out:  serial Err:  serial Net:  mii0 Hit any key to stop autoboot: 0  NAND read: device 0 offset 0x800000, size 0x300000 3145728 bytes read: OK  NAND read: device 0 offset 0x400000, size 0x600000 6291456 bytes read: OK  NAND read: device 0 offset 0x300000, size 0x7000 28672 bytes read: OK ## Starting application at 0x1FF74524 ... ## Application terminated, rc = 0x0 ## Flattened Device Tree blob at 00000100 Booting using the fdt blob at 0x00000100 Loading Device Tree to 03ff7000, end 03fff171 ... OK  Starting kernel ... "
32,Looking for up-to-date FreeRTOS port to Cyclone V SOC cortex-a9,"I tried the version at: but it appears to be out-of-date (doesn't compile with the intel/altera ""baremetal"" gcc, or the current Linaro gcc for Arm (9.2)).  Thanks! "
33,arria 10 soc HPS software bootup guide line step by step,"is there any doc and lab material about arria 10 soc HPS bootup step by step? such as the lab materials and step by step doc for cyclone v soc by ARROW in below link, it can be found on , but arria 10 soc can not be found on that.   "
34,This Forum is Peer-to-Peer support only,This forum is only supported by peers in the Community. We apologize Intel Support is not available at this time. Thank you! Mary T. Community Manager  
35,SOC EDS Standard Edition downloads are not available in download center.  The only one available is 19.3 pro,I have a previously downloaded what i thought was the most recent standard version 19.1 but the download file is named SoCEDSProSetup-19.1.0.240-windows . Is there a misnaming issue?  How can I the correct version? 
36,When I try to makefile the following error was generated. How can fixed this problem?,"arm-linux-gnueabihf-g++  ./host/main.o ../common/ocl_util.o ../common/timer.o -o run.exe -L/home/guta/intelFPGA/18.1/hld/board/c5soc/arm32/lib -L/home/guta/intelFPGA/18.1/hld/host/arm32/lib -L/home/guta/intelFPGA/18.1/hld/host/linux64/lib -Wl,--no-as-needed -lalteracl -lintel_soc32_mmd -lstdc++ -lelf ../common/ocl_util.o: file not recognized: File format not recognized collect2: error: ld returned 1 exit status Makefile:151: recipe for target 'run.exe' failed make: *** [run.exe] Error 1  "
37,Arria 10 SoC - Kernel load Failed. nRST output a low pulse.,"The uboot load successful.  When load kernel, the file system, dtb file, kernel all load correcy, the peripheral inistal success, but the kernel can not enter to shell, the last log is "" ttyS0 - failed to request DMA"", and the nRST pin output a low pulse. Do you know, what is the reason about this low pulse on nRST Pin? "
38,"Other workflow for generating Preloader since Quartus-Prime Version 19.1 with ""SoC EDS 19.1 Command Shell„","I work with FPGA-Eval-Board DE10-Standard from Terasic with Cyclone V and HPS. Before Quartus-Prime Version 19.1 workflow in ""SoC EDS 18.1 Command Shell„ was: Generate the ""Preloader"" using the BSP Editor Change to Quartus Project folder: bsp-editor.exe & File, New ..\hps_isw_handoff\soc_system_hps_0 Generate --> ..\software\spl_bsp is generated !! Build the ""Preloader„: Change to folder ..\software\spl_bsp >make --> preloader-mkpimage.bin is generated !! ------------------ SoC EDS 19.1 Command Shell„ : Change to Quartus Project folder: bsp-editor.exe & File, New ..\hps_isw_handoff\soc_system_hps_0 Generate --> ..\software\spl_bsp is generated !! Build the ""Preloader„: Change to folder ..\software\spl_bsp >make I get the message: ""Please visit for instructions on how to build the bootloader."" But on this page I couldn't find any instuction to generate Preloader ""preloader-mkpimage.bin"". Can anyone help??? Does anyone know if generation of preloader-mkpimage.bin in all future versions Quartus not exist. Thanks for any answer. Gerhard "
39,Any Deep-Sleep modes and wake-on-LAN capabilities for Stratix 10 Architecture?,"Hello Intel Support Forums,  I am very new to Intel's SoC embedded solutions, I have been researching power solutions for the Stratix 10 architecture. I have reviewed the power management user guide which discusses the VID controller and power reduction techniques, etc. I was not able to come across deep sleep modes for the arm cores and ability to implement wake up sequences for the Stratix 10. Is there such capability?  Looking forward to responses, Thank you.  "
40,"FreeRTOS compile failed.
Is there more detailed tutorials？",
41,Why Cyclon V Reset manager status register always read 0?,"Hello, In our project we have u-boot v2018.11. I have been requested to write a functionality related to reset reason. Following the already implemented functionality mainly in iMX devices I wrote similar function. And read values from the register is always 0! Why? This is my code:  static struct socfpga_reset_manager *reset_manager_base = (struct socfpga_reset_manager *)SOCFPGA_RSTMGR_ADDRESS; u32 cause; cause = readl(&reset_manager_base->status) & 0xFFFFF;  I thought it could be related to incorrect access to the register. In Cyclon V HPS TRM is written: Important:To prevent indeterminate system behavior, reserved areas of memory must not be accessed bysoftware or hardware. Any area of the memory map that is not explicitly defined as a registerspace or accessible memory is considered reserved And in this status register has some reserved bit fields.  Any suggestions? "
42,"Urgent case：
What is 5M570ZT100C4N ESD level？Class 0？",
43,Altera Arria V GX Starter Kit Installation,"hi I am using Arria V GX 5AGXFB3H4F35C4N and quartus II 15.0 I have installed the Developer kit installation, after installing I showed me an error while launching the BOARD TEST  SYSTEM, then it showed a link to solve the error by setting the environmental path, even after doing every thing I was not able to solve it. so I was hoping I can get some help here I am attaching the error popup picture below. "
44,Eclipse displaying error during build and run,"I am trying to build a calculator using the NIOS processor. The development kit is DE2-115 from Terasic. When I try to run a C code for a calculator using Eclipse, I get the following message in the console window. And there is no display on the LCD in the development kit. Can someone please help with this?  Thanks, Reba "
45,Looking for Altera-SoCFPGA-HardwareLib-XXX-CV-GNU.tar.gz,"Hi,  I saw there are some examples, e.g.  But I am not able to get the example package (e.g. Altera-SoCFPGA-HardwareLib-SDMMC-CV-GNU.tar.gz) from EDS installation.  There are already some other examples, but I am specifically looking for these packages: Altera-SoCFPGA-HardwareLib-SDMMC-CV-GNU.tar.gz Altera-SoCFPGA-HardwareLib-GPIO-CV-GNU.tar.gz Altera-SoCFPGA-HardwareLib-QSPI-CV-GNU.tar.gz Altera-SoCFPGA-HardwareLib-I2C-CV-GNU.tar.gz  Could you point where I can get them?  /Thanks -Austin   "
46,Cadence のncverilog に組み込むとaxi_set_master_end_abstraction_level が発生します。," Cadence のncverilog に組み込むと以下のエラーが発生します。 ncsim: *F,NOLWSV: Searching for import subroutine ""axi_set_master_end_abstraction_level"" in default library libdpi. Unable to load the default library libdpi. OSDLERROR: ./ : cannot open shared object file: No such file or directory or file is not valid ELFCLASS64 library..    "
47,Problem configuring PCIe Endpoint on Stratix10 MX Development Kit,"I am using the Stratix 10 MX Development Kit. I am using an Example Design I generated in Quartus for “Avalon Memory Mapped (Avalon-MM) Intel Stratix 10 Hard IP+ for PCI Express”. I am using Quartus 19.4 I get this error on programming at about 80% done:  Error: Device has stopped receiving configuration data Error message received from device : Device is in configuration state Operation failed  Googling finds this workaround:  To avoid this error and to enable 3V IOs in a design targeting any variant of Intel Stratix 10 FPGAs, power up the VCCR_GXB and VCCH_GXB rails of the respective transceiver tile as per the .  "
48,"Cyclone V SoC how to download Linux on board without SD,MMC","I am new at SoC and Linux, so can anyone tell me all options to download Linux on a custom board without SD, MMC cards? I know that HPS can boot Linux from NAND or qSPI, but don’t know the best way to download Linux to these types of memory? I am considering the idea of ​​using a USB-SPI bridge and an HPS SPI controller to boot Linux into qSPI or NAND, or possibly download Linux from Eternet to NAND via EMAC. But how I suspect that all this methods requires a program using baremetal on HPS? Maybe someone knows how to make such an idea easier without baremetal programmig?  P.S. As i know there is a way to download Linux to NAND via JTAG but it reuires license on DS-5 , but I use the free version of Quarus and EDS Comunity edition.  "
49,Can A10 SoC FPGAs be reconfigured while Linux is running?,the customer want to configure FPGA while Linux is running. Is there anyway to help them? 
50,I had a hard drive crash and lost my ARM silver license for DS-5.  How do I fix this?,All of the licensing information refers to non-existent altera websites.  How do I generate a license file? 
51,Reset bridge removed in code,"Hi, we need to utilize the FPGA to HPS SDRAM connect our u-boot Linux condition.  We utilize the Altera u-boot-socfpga uboot.  Each first time the piece hangs/crashes, on the off chance that we need to compose trough the extension.  After a warm reset everything works, we don't transform anything however boot as it were. "
52,I have a u-boot-with-spl.sfp and u-boot.scr that boots to Linux but then it reboots and few seconds later and repeats this.  Is there a timer or something else that I need to clear?,
53,baremetal + Linux demo,"  HI ,Could you provide some material or demo for dual core baremetal+linux of cyclone Vsoc? and the process how can I migrate to my own board? Thanks   "
54,my first fpga makefile error,"Hello, I'm just trying to run my_first_hps makefile, from the Cyclone V SoC datasheet, but when I try make in the SoC EDS shell I get the following error:  process_begin: CreateProcess(NULL, arm-linux-gnueabihf-gcc -g -Wall -I $path_to_include -c main.c -o main.o, ...) failed. make (e=2): The system cannot find the file specified. make: *** [main.o] Error 2  I'm sure that the path is correct, I'm not sure what it going on. This is the makefile:  # TARGET = my_first_hps  # CROSS_COMPILE = arm-linux-gnueabihf- CFLAGS = -static -g -Wall -I ${SOCEDS_DEST_ROOT}/ip/altera/hps/altera_hps/hwlib/include LDFLAGS = -g -Wall CC = $(CROSS_COMPILE)gcc ARCH= arm   build: $(TARGET)  $(TARGET): main.o $(CC) $(LDFLAGS)  $^ -o $@  %.o : %.c $(CC) $(CFLAGS) -c $< -o $@  .PHONY: clean clean: rm -f $(TARGET) *.a *.o *~   Please help me resolve this issue "
55,Critical bug in Linux version of Embedded Development Suite 19.1,"I think that I found a bug in the embedded command shell of EDS. After a fresh install of EDS on Manjaro Linux I get the following error when executing embedded_command_shell.sh:  sh: symbol lookup error: /opt/altera/19.1/embedded/host_tools/altera/ds5_link/../../../host_tools/python/lib/libreadline.so.8: undefined symbol: PC WARNING: DS-5 install not detected. SoC EDS may not function correctly without a DS-5 install. ------------------------------------------------ Intel FPGA Embedded Command Shell  Version 19.1 [Build 670] ------------------------------------------------ This indicates a dependency error in the library of EDS itself. Is this bug known? Is there way to fix this? 18.1 is working without any problems on my distro so it seems a software related bug.  Kind regards,  Edian "
56,Reading memory mapped ADC values from HPS running Linux.,"Hi, I am running Ubuntu (kernel 4.5) provided by Terasic on my DE1-SoC board. From the demonstrations in the CD, I modified the hardware project and added ADC controller for DE series boards to the Qsys project like this:  The ADC is mapped to 0x0000_0000 to 0x0000_001F as a lightweight HPS to FPGA memory mapped slave. I generated the HDL, added ADC to the top-level verilog file like this: Compiled the project, converted the .sof file to .rbf file and replaced the existing .rbf file on the SD card with the one I generated (with the same name of course).  I started the DE1-SoC board and it booted normally. Next, I write the following program to read the values from ADC and print the values on the console: I map the ADC's base address to the virtual space, then I initiate an update of the 8 channels by writing to the UPDATE register, as described in the IP's manual: chapter 4, software programming model. I also isolate the 12 bits from 32-bit values. Then I read the values expecting to read the values of the ADC. (I slightly modified the code for better illustration of what I am doing (removed extra computations). I don't have the board with me to check if it compiles but you get the idea)..  Running this program, I only get 0's for all 8 channels. If I write any value to the UPDATE register, I read out the exact same value for the UPDATE register. I tried the auto-update register as well, getting the same values. Maybe my programming model is wrong. Can you give me any feedback?  "
57,probe function for qspi is not called,"Hello,  I am using latest linux-socfpga with arria5.  The kernel does not detect any mtd device (qspi) on board. The problem is that I don't see that probe function for qspi is ever called... Only if I change in dts file as following: &qspi { status = ""okay"";  flash: flash@0 { #address-cells = <1>; #size-cells = <1>; -compatible = ""n25q256a""; +compatible = ""cdns,qspi-nor"";  than I finally get that cqspi_probe() and spi_npor_scan() are called: [  2.588663] cadence-qspi ff705000.spi: unrecognized JEDEC id bytes: ff ff ff ff ff ff [  2.604067] cadence-qspi ff705000.spi: Cadence QSPI NOR probe failed -2 [  2.610805] cadence-qspi: probe of ff705000.spi failed with error -2  Should I change dts as I did ? Why does it fail to call probe with the original flash device name in dts ?  Thanks! Ran "
58,DS5：Cannot checkout an uncounted license within a Windows Terminal Services guest session.,"when i use the evaluation license, it tells me there is something wrong. "
59,"Hi,
I am trying to use intel's PCIE Avalon MM DMA IP core. Is there a way for me to generate this core outside platform designer? Also is there an example to instantiate this dma engine without using platform designer.",trying to generate & use PCIE (HIP) along with avalon mm DMA IP for arria 10. 
60,MAX10 FPGA CFM size,"Hi, I am using MAX10(10M25DAF484C8G) FPGA and internal configuration memory(CFM) for FPGA code.  For Single uncompressed image configuration mode, generated the files(through convert programming files option) as below. top.sof - 1660KB top.pof - 773KB output_file_auto.rpd - 772KB output_file_cfm0_auto.rpd - 528KB output_file_ufm_auto.rpd - 242KB  10M25DAF484C8G FPGA CFM size is 736KB. 1) During JTAG programming, Which file to configure? 2) During Remote System Upgrade, which file to configure? 3) How do i conclude CFM size is sufficient for my fpga code? 4) In case, if CFM is not sufficient for my fpga code, do i get any error while generating these files(through convert programming files option) in Quartus?  Thanks  "
61,Arria10 DDR ECC Initialization,"Do I need to explicitly initialize DDR to known values after enabling ​ECC for the Arria10 DDR ? The A10 HPS technical reference manual has the following notes against the ECCCTRL1 and ECCCTRL2 registers: ""This bit is used to set the initialize the memory and ecc to a known value""  This would suggest that explicit initialization of each DDR location is not required. Which ""bit"" is this referring to. There is no description of any initialization operation in either of these registers.​ "
62,How do I get u-boot-with-spl.sfp to read u-boot.scr instead of extlinux.conf?,Using SoCEDS 19.1 
63,Issue with eMMC accesses on Arria 10 SOC board?,"Hi,  I'm troubleshooting an issue on an Arria 10 SOC board running the Linux 4.20 kernel where we randomly see corruption reported on filesystems located on the eMMC. It doesn't happen frequently and is quite indeterminate but after many reboots, one or more of the filesystems that are mounted report errors (even on filesystems mounted as read-only). As part of tracking down the issue (and having not narrowed it down to the eMMC at the time), we tried other filesystem types (ext3->ext4 and ext3->cramfs) but the problem persisted.  An interesting data point is that previously we were using the Linux 3.10 kernel and did NOT see this issue. We went back and confirmed that the issue does not occur when using the 3.10 kernel by testing multiple boards over the course of 10 days. Given this and other debugging performed, the issue appears related to MMC driver changes in the 4.20 kernel (which appear to be substantial based on a cursory comparison of the two versions).  I'm currently performing an mmc controller register comparison and added CMD logging to the MMC kernel driver for the purposes of comparing the CMDs being sent during configuration.  Has anyone encountered this issue? Any suggestions on things to try?  If you have any questions for me, please feel free to ask.  Thanks, Ren "
64,"DE10-Nano とGolden System Reference Design を利用しています。
AvalonSlave（Register）とAvalonMM　IF（DMA）を持った回路を、HLSで作成して組み込みました。
私は、Registerにはアクセスできました。しかし、StartBitをONにしても処理が行われません。

質問：
DE10-NanoのGSRDに、DMAIFを装備するオリジナル回路を組み込んだ履歴や手順など。
それらを示したURLをご存知の方がいたら教えてください。",
65,HPS uart could not initialize at uboot.,"In out case, HPS UART0 is routed to FPGA, HPS UART1 is routed to HPS.  But we found that (before HPS UART0 initialize, HPS UART1 finished initialzing). The problem is hanging in ns16550.c  Is there anything we missed if we are making the HPS UART route to FPGA or any change we should make in uboot? "
66,Legacy Altera RTOS Tools location,"I have been attempting to develop a VxWorks environment for the Altera Cyclone V SoC. No matter where I look for support in this I am told to download the packages located at: . Unfortunately, this redirects me to Intel and I have no clue where to find the packages within this. If anyone has these files or knows their location your help would be much appreciated. "
67,kernel stuck on 'brd: module loaded' at boot.,"Sometimes kernel would stuck on 'brd: module loaded' and FPGA stop booting, only reconnect power supply to make FPGA boot again to 'exit' this stuck. ​ The below picture shows how the kernel work in proper boot process. In sometimes, it will stuck on 'brd: module loaded' and no anymore logs shows. ​ We made a change that we would loaded two .rbf from SDMMC two different partitions. We are invoking cff_from_sdmmc_env(); twice.  ​Is that invoking cff_from_sdmmc_env(); twice lead this kernel stuck problem? Any change we should make to support loading two .rbf from SDMMC two different partitions? "
68,"I am working on MAX 10. nSTATUS pin is required an external input buffer to support hot-socketing. 
I would like to know how to design the external input buffer

Thank you",
69,SoCEDS version 19.1 bsp-editor does not show spl as supported type,"I have installed SoCEDS version 19.1.  BSP-editor does not support SPL, why is that? I have Quartus prime lite version 17.0 installed and I have checked the environment on embedded command shell, it finds the Quartus path correctly. Embedded shell output when tried to check supported types is as follows.  $ bsp-create-settings.exe --type \? . Available BSP types are: [uboot, uefi] "
70,Will MAX10 device with DC(Compact) feature[10M25DCF484C8G] support Remote System Upgrade?,"Will MAX10 device with DC(Compact) feature[10M25DCF484C8G] support Remote System Upgrade? In the MAX10 User guide, For the compact variant, it is mentioned that ""Devices with core architecture featuring single configuration image with self-configuration capability"" So, Can we do Remote system upgrade in Device 10M25DCF484C8G with Single compressed image option? Please confirm. Thanks "
71,Arria10 SOCFPGA ARM DMA usage - way to use ARM DMA to copy bulk data inside DDR ？,"I am using A10 SOCFPGA , where Linux runs on SOC ARM（dual-A9）. ​ In my application, there‘re bulks of memory copying from one place to another place each 1ms，currently I use memcpy() which occupy CPU heavily. ​ Thus I want to use ARM DMA to do this, to avoid use cpu memcpy() .  The question is "" HOW _TO  DO THIS "" ?  is there any code example ?  Thanks for help ​ "
72,"Problem with Linux & Windows Application for PCIe DMA transfer on Arria 10
Ref: PCI Express AVMM DMA Reference Design","I'm having a problem in running the DMA transfer example on my Linux (Ubuntu 16.04) system.  According to the README: command - sudo ./install -- gives me en error "" ./altera_dma.ko: No such file or directory"". Initially when I untar the files, I see the altera_dma.ko file present in the directory but install command happens to delete it.  Please help me in this situation, I couldn't find any updated files on the same. Thanks! "
73,"Stratix 10 SoC bare metal, no hps_isw_handoff generated","Greetings. I am trying utilize the Stratix 10 SoC HPS (bare metal for now) for the first time. I am using Quartus Prime Pro 19.2. So far, I have used the Platform Designer to instantiate a ""Hard Processor System Intel Stratix 10 FPGA IP"" and a very simple AXI-Lite GPIO module. I validated the design, generated HDL, and then Compiled the design in Quartus.  I am now trying to ""import"" whatever files the ""Eclipse for DS-5"" needs to develop software for this system. I imagine this will create some kind of BSP that will generate linker scripts and header files as appropriate for this specific design, and then I can develop my embedded software for the application.  I can't find a very good step-by-step instruction of doing this (I feel like there should be a tutorial just to go through the motions and get used to the mechanics, but I can't find it), but I have gathered bits and pieces from around the web: It looks like the flow is to use the bsp-editor tool available from ""Embedded_Command_Shell.bat"", and this asks to point to the ""Preloader Settings Directory"" which should contain hps.xml and emif.xml.  Everything I've found seems to indicate that Quartus should generate a folder called ""hps_isw_handoff"" which contains these files, but my project is not producing this.  Are there additional settings I need to enable to get this directory to be built? I noticed that my Quartus Prime Pro version is 19.2, but the latest SoC EDS available for download is only at 19.1. Do these versions need to align? "
74,Are these Manufacturer Part Number  valid and  orderable per customer description?,"Manufacturer  part number 1: 5SGXMA4K2F35I3LG Customer description 1:    IC SMT 5SGXMA4K2/W STRATIX V 28NM FBGA1152PBF  Manufacturer part number 2: 5SGXMA4H2F35I3LG Customer description 2: IC SMT 5SGXMA4H2/W STRATIX V 28NM FBGA1152PBF  If not: ·        what is the status of the MPN? ·        Is it obsolete? ·        Has it never been valid with you? ·        Is the nomenclature wrong? ·        Could you suggest me the correct one?  * How  are  they  paked ?(Is it comes in t&r, or Tray or bulk)(I need  these  information  even  if they are  obsolete)    "
75,EDS v19.1 Linux Example Device Binary Tree,"I am trying to follow the directions Intel SoC FPGA Embedded Development Suite User Guide on found .  I have installed Intel SoC FPGA Embedded Development Suite Standard Edition 19.1 for Linux and I am trying to find the example (pre-built) Device Binary Tree for the GHRD that is allegedly in this path:  <SoC EDS installation directory>/examples/hardware/cv_soc_devkit_ghrd/soc_system.dtb  However,  this path doesn't exist. Any help? "
76,Problem on downloading bitstream to a Stratix 10 MX board,"Hi all,  Now I'm trying to programming the Stratix 10 MX board with a simple test example (4-bit counter). Following are my hardware and software info: Software: Quartus Prime Pro 19.3 Hardware: Stratix 10 MX (1SM21BHU2F53E2VGS1) installed in a server (OS: CentOS 7) through the PCIe interface DIP switches: SW2[3:0] = 1001, SW1[3:0] = 1111;  I was trying to download the bitstream through the J15 port using a programming cable. However, I got the error message saying ""Synchronization failed. Configuration error."" The following figure shows more information about the error:  I do the following things for programming the board: (1) Create a new project for my device (1SM21BHU2F53E2VGS1), write a simple 4-bit counter in Verilog and generate the bitstream (test.sof). (2) Open the ""Programmer"" and press the ""Auto Detect"". Then I have to choose the device with following options: However, no one exactly matches to my board (1SM21BHU2F53E2VGS1).  Thus I simply try the last three options which seems highly related to my board, but I get the following critical warning: (3) After clicking ""Yes"", I select the device (named with ""1SM21BXXX"") and click ""Change File""; in the pop-up window, I select the bitstream generated in step (1), i.e., test.sof (4) Finally I press the ""Start"" button to program the board and get the error mentioned before (""Synchronization failed. Configuration error."" ).  Anyone knows what I'm doing wrong here? Any response will be greatly appreciated!  Thanks, Hanchen  "
77,HPS2FPGA Bridge Throughput,"Hi,  I am working on a project where there is a DDR4 RAM connected to the HPS2FPGA bridge and the host sends data to be saved in the RAM. I am trying to improve the throughput from the HPS to the DDR4, but the fastest I have achieved is ~16MB/s. The software is written in C and the system is running embedded Linux. I am using the mmap() function to write the data to the DDR4 RAM. The program just writes large chunks of data to RAM. I am using an array of memory mapped locations in the example, but the rate is the same with only one map.   How can I improve the data rate going from the HPS to RAM? Is there a better way to communicate data from the HPS through the HPS2FPGA bridge? Should I be using the F2SDRAM bridge instead?  Thank you "
78,EPCQL controller I Quartus version 16.0,"Hello,  I am trying to access in read and write my EPCQL-1024 from simple soft running in NIOSII. I have the Altera Serial Flash Controller I configured in QUAD mode connected from its avl_csr and avl_mem to the NIOSII. I have tried to access in read and write the EPCQL registers (STATUS, Device ID) and the controller registers FLASH_ISR, or FLASH_IMR, it have been successful. But when I need to erase sector or write to memory. Here lies my problem; I can run nothing on board until power off. When reading the values back from the EPCQL or execute a simple access , it seem to return erroned values. I also tried reading the status register to see if there are processes occurring, but it always reads 0x0. Also when I try to read either the FLASH_ISR, or FLASH_IMR, the EPCQL seems to stop responding and I need to repower the chip then reload my .sof , the read data are correct. I am not sure where to start debugging this and if t's by definition, a flash memory needs a power off after each write operation, then how to write many data at a time to same or different sectors. Any help or points in a direction would be much appreciated.        Thank you in advance :)  "
79,Maxplus 2 無法compiler,"我用的是MAX+plus II 10.2 BASELINE, 然而我無法點compiler它呈現灰色樣式的按鈕, 我有存檔也有用認證檔 "
80,Not able to boot the HPS after changing read CAS latency of DDR3, The above is the ddr config we kept Previously our CAS latency for read for our DDR3(MT41J128M16JT-125) in our board connected to ARRIA10 SOC (10as016e4f27e3sg) is 11 and we tried to change it to 7 and then that bin file onwards our soc stopped booting and the log is attached.  The thing we want to confirm is will there be any effect of this on the ddr read and which affects the arm boot.  
81,"Hello everyone,
I try to convert a .bag file in Realsense Android to a point cloud .ply.
Please what should I do?
Thanks.",
82,Installing SoC EDS v. 14.1 on 64-bit Ubuntu 14.04-- it is possible!,"After much trial and error, I succeeded in installing SoC EDS version 14.1 (SoCEDSSetup-14.1.0.186-linux.run) on a 64-bit machine running Ubuntu 14.04. "
83,Custom component with more the one register,"Hi, I'm trying to build a custom component and for that I'm using the ""Making Qsys Components"" Altera's documentation (attached herewith). Everything is working as expected except the address that set for only one 32bits register (0x00000000 to 0x00000003) instead of four registers  (0x00000000 to 0x0000000C, as in Figure 34). How can I define and allocate more registers in the Avalon interface? Thanks, Idan "
84,Unable to build the preloader in windows 10,"Hello Intel, I am wondering if there is a problem within the SOC EDS tool. I am not able to build preloader anymore. I found this link:  AND it didnt help me to fix the issue. Please help!!!  "
85,"Cyclone V: Core 0: Bare-Metal, Core 1: Linux OS","Is it possible to run the bare-metal application on Core 0 and Linux based monitoring application (no real-time feature required) on Core 1. If yes, the please can you kindly just elaborate the steps needed to achieve this.  "
86,Intel Arria 10 PCIe DMA Reference Design problem,"Hello,  I am trying to run the Intel PCIe DMA Reference Design by Intel on my Arria 10 ( 10AS066H2F34I1SG) device. When I open the reference design and try to Migrate Device to the above FPGA, it doesn't show in the list of devices!  I tried to edit the constraints myself and after generating the .sof file, the PCIe card is not being detected in the system. Can you please guide me on how to run the reference design on my board. I'm relatively new to Intel FPGAs and some help would really be appreciated.  Thank you in advance.  Best, Bhargav "
87,"On Cyclone-V, how do I configure a pin mux to use the DIFFIO_RX_B46P pin as a general purpose IO pin?",
88,Searching for the programming specification document for device 8797BH.,Searching for the programming specification document for device 8797BH. 
89,What is Arria10 DS-5 baremetal debug agent reset.system operation doing ?,How is the reset implemented when I issue a reset reset.system command from the DS-5 debugger (connected to the target via the Altera Arria 10 SoC bare metal debug agent) ? I see different behaviour when I issue this on the A10 dev kit and our A10 custom hardware and need to understand what is happening beneath the DS-5 covers to investigate further. 
